,precision,recall,f1-score,support
Cluster 1,0.15384615384615385,0.11764705882352941,0.13333333333333333,34.0
Cluster 2,0.21428571428571427,0.18181818181818182,0.19672131147540983,33.0
Cluster 3,0.4307692307692308,0.6511627906976745,0.5185185185185185,43.0
Cluster 4,0.21212121212121213,0.18421052631578946,0.19718309859154928,38.0
Cluster 5,0.5517241379310345,0.48484848484848486,0.5161290322580645,33.0
accuracy,0.3370165745856354,0.3370165745856354,0.3370165745856354,0.3370165745856354
macro avg,0.3125492897906691,0.323937408500732,0.3123770588353751,181.0
weighted avg,0.31542970904754103,0.3370165745856354,0.31959474430559753,181.0
