,precision,recall,f1-score,support
Cluster 1,0.25,0.11764705882352941,0.16,34.0
Cluster 2,0.23076923076923078,0.18181818181818182,0.2033898305084746,33.0
Cluster 3,0.4696969696969697,0.7209302325581395,0.5688073394495413,43.0
Cluster 4,0.23076923076923078,0.23684210526315788,0.23376623376623376,38.0
Cluster 5,0.4411764705882353,0.45454545454545453,0.44776119402985076,33.0
accuracy,0.35911602209944754,0.35911602209944754,0.35911602209944754,0.35911602209944754
macro avg,0.3244823803647333,0.34235660660169265,0.3227449195508201,181.0
weighted avg,0.3295050199502589,0.35911602209944754,0.33298241043763477,181.0
