,precision,recall,f1-score,support
Cluster 1,0.3125,0.14705882352941177,0.2,34.0
Cluster 2,0.3333333333333333,0.18181818181818182,0.23529411764705882,33.0
Cluster 3,0.4305555555555556,0.7209302325581395,0.5391304347826087,43.0
Cluster 4,0.23076923076923078,0.23684210526315788,0.23376623376623376,38.0
Cluster 5,0.5277777777777778,0.5757575757575758,0.5507246376811594,33.0
accuracy,0.3867403314917127,0.3867403314917127,0.3867403314917127,0.3867403314917127
macro avg,0.36698717948717946,0.3724813837852934,0.35178308477541215,181.0
weighted avg,0.36643528356235544,0.3867403314917127,0.35803505251160367,181.0
