,precision,recall,f1-score,support
Cluster 1,0.2916666666666667,0.20588235294117646,0.2413793103448276,34.0
Cluster 2,0.35714285714285715,0.15151515151515152,0.2127659574468085,33.0
Cluster 3,0.43661971830985913,0.7209302325581395,0.543859649122807,43.0
Cluster 4,0.2857142857142857,0.3157894736842105,0.3,38.0
Cluster 5,0.5333333333333333,0.48484848484848486,0.5079365079365079,33.0
accuracy,0.39226519337016574,0.39226519337016574,0.39226519337016574,0.39226519337016574
macro avg,0.3808953722334004,0.3757931391094326,0.36118828497019023,181.0
weighted avg,0.38085177733065056,0.39226519337016574,0.3689284133793054,181.0
